IE_XML_ID;IE_NAME;IP_PROP45
2506;Бобинная пряжа Fashion Mill spa art. GOLFINO TINTO, хлопок/лён/полиакрил 750 м/100 г;
2507;Бобинная пряжа Fashion Mill spa art. GOLF, хлопок/лён/полиакрил 375 м/100 г;
2508;Бобинная пряжа Lane Rossi Amico Soft , 100% меринос, 1500 м/100 г;
2509;Бобинная пряжа Lane Rossi Amico Soft , 100% меринос, 1500 м/100 г;
2510;Бобинная пряжа Lane Rossi Amico Soft , 100% меринос, 1500 м/100 г;
2511;Бобинная пряжа Lane Rossi Amico Soft , 100% меринос, 1500 м/100 г;
2512;Бобинная пряжа Hasegawa art. Cactus Хаки 100% хлопок 320 м/100 гр;
2513;Бобинная пряжа Loro Piana art. Cashpima, хлопок/кашемир, 1660 м/100 г;
2514;Бобинная пряжа Loro Piana art. Cashpima, хлопок/кашемир, 1660 м/100 г;
2526;Бобинная пряжа Loro Piana art. Sauvage Fine, 70% меринос, 30% кашемир, 700 м/100 г;
2528;Бобинная пряжа Loro Piana art. Exodus, 100% шелк, 500 м/100 г;
2529;Бобинная пряжа Profilo SNC art. Giulia, 60% шелк, 40% мохер, 500м/100г.;
2530;Бобинная пряжа Profilo SNC art. Giulia, 60% шелк, 40% мохер, 500м/100г.;
2531;Бобинная пряжа Peruvian Yarns, art. BABY SILK PRINT 70% Baby Alpaca, 12% Silk, 18% PA 1250 м/100 г;
2532;Бобинная пряжа Peruvian Yarns, art. BABY SILK PRINT 70% Baby Alpaca, 12% Silk, 18% PA 1250 м/100 г;
2533;Бобинная пряжа Loro Piana, art. FULLNESS, 70% кашемир, 30% шелк, 550м/100г;
2534;Бобинная пряжа Loro Piana, art. FULLNESS, 70% кашемир, 30% шелк, 550м/100г;
2535;Бобинная пряжа Loro Piana, art. FULLNESS, 70% кашемир, 30% шелк, 550м/100г;
2536;Бобинная пряжа Loro Piana, art. FULLNESS, 70% кашемир, 30% шелк, 550м/100г;
2537;Бобинная пряжа Loro Piana, art. FULLNESS, 70% кашемир, 30% шелк, 550м/100г;
2538;Бобинная пряжа Filati Rowan art. Obsession, 34% кид мохер, 16% шерсть, 42% ПА, 8% пайетки, 290 м/100 г;
2544;Бобинная пряжа Zegna Baruffa Lane Borgosesia art. Baba, меринос/кашемир, 1500 м/100 г;
2545;Бобинная пряжа Loro Piana art. Coarsehair, 100% кашемир, 550 м/100 г;
2546;Бобинная пряжа Lamora Lanecardate, 75% меринос, 25% ангора, 1600 м/100гр;
2547;Бобинная пряжа Zegna Baruffa Lane Borgosesia art. Baba, меринос/кашемир, 300 м/100 г;
2548;Бобинная пряжа Zegna Baruffa Lane Borgosesia art. Baba, меринос/кашемир, 300 м/100 г;
2549;Бобинная пряжа G&G Filati art. Revieve, 100% кашемир, 625 м/100 г;
2550;Бобинная пряжа Loro Piana art. Papiro Fine, хлопок, 500 м/100 г;
2551;Бобинная пряжа Loro Piana art. Papiro Fine, хлопок, 500 м/100 г;
2552;Бобинная пряжа Loro Piana art. Papiro Fine, хлопок, 500 м/100 г;
2553;Бобинная пряжа Profilo SNC, меринос/мохер, 500 м/100 г;
2554;Бобинная пряжа Profilo SNC, меринос/мохер, 500 м/100 г;
2555;Бобинная пряжа Profilo SNC, меринос/мохер, 500 м/100 г;
2556;Бобинная пряжа Profilo SNC, меринос/мохер, 500 м/100 г;
2557;Бобинная пряжа Brunello Cucinelli art. Cashmere, 100% кашемир, 500 м/100 г;
2558;Бобинная пряжа Loro Piana art. CLAN, кашемир/мохер, 375 м/100 г;
2559;Бобинная пряжа Loro Piana art. CLAN, кашемир/мохер, 375 м/100 г;
2560;Бобинная пряжа Loro Piana art. CLAN, кашемир/мохер, 375 м/100 г;
2561;Бобинная пряжа Loro Piana art. CLAN, кашемир/мохер, 375 м/100 г;
2562;Бобинная пряжа Loro Piana art. CLAN, кашемир/мохер, 350 м/100 г;
2563;Бобинная пряжа  Filati Naturali art. Mongolian, пух верблюжонка/кашемир, 280 м/100 г;
2564;Бобинная пряжа Brunello Cucinelli art. Cashmere, 100% кашемир, 500 м/100 г;
2565;Бобинная пряжа Brunello Cucinelli art. Cashmere, 100% кашемир, 500 м/100 г;
2566;Бобинная пряжа Brunello Cucinelli art. Cashmere, 100% кашемир, 500 м/100 г;
2567;Бобинная пряжа Brunello Cucinelli art. Cashmere, 100% кашемир, 500 м/100 г;
2569;Бобинная пряжа Brunello Cucinelli art. Cashmere, 100% кашемир, 500 м/100 г;
2599;Бобинная пряжа Sporty от Casa del filato prato-italy, 90% меринос, 10% кашемир,Синий, 2500 м/100 гр;
2600;Бобинная пряжа Loro Piana art. Cash/Seta, 81% кашемир 19% шелк, 470 м/100 г;
2601;Бобинная пряжа Loro Piana art. Coarsehair, 100% кашемир, 550 м/100 г;
2602;Бобинная пряжа Merino Lambswool 17/2  850 м/100 г;
2603;Бобинная пряжа Loro Piana Cablelight Cashme, кашемир, 660 м/100 г;
2604;Бобинная пряжа Loro Piana art. New Tweed Coarsehair, 100% кашемир, 700 м/100 г;
2605;Бобинная пряжа Loro Piana art. Coarsehair, 100% кашемир, 550 м/100 г;
2606;Бобинная пряжа Loro Piana art. Coarsehair, 100% кашемир, 550 м/100 г;
2607;Бобинная пряжа Loro Piana art. Coarsehair, 100% кашемир, 550 м/100 г;
2608;Бобинная пряжа Loro Piana art. Coarsehair, 100% кашемир, 550 м/100 г;
2609;Бобинная пряжа G&G Filati art. Revieve, 100% кашемир, 625 м/100 г;
2610;Бобинная пряжа G&G Filati art. Revieve, 100% кашемир, 625 м/100 г;
2611;Бобинная пряжа G&G Filati art. Revieve, 100% кашемир, 625 м/100 г;
2612;Бобинная пряжа G&G Filati art. Revieve, 100% кашемир, 625 м/100 г;
2613;Бобинная пряжа G&G Filati art. Revieve, 100% кашемир, 625 м/100 г;
2614;Бобинная пряжа Moniapai, полиэстер/хлопок/акрил/нейлон/пайетки, 380 м/100 гр;
2615;Бобинная пряжа Moniapai, полиэстер/хлопок/акрил/нейлон/пайетки, 380 м/100 гр;
2616;Бобинная пряжа Moniapai, полиэстер/хлопок/акрил/нейлон/пайетки, 380 м/100 гр;
2617;Бобинная пряжа Diva, 250 м/100 гр;
2618;Бобинная пряжа Cariaggi art. PIUMA, кашемир, 320 м/100 г;
2619;Бобинная пряжа Cariaggi art. PIUMA, кашемир, 320 м/100 г;
2620;Бобинная пряжа Casa del Filato Prato art. Maya, кашемир/шерсть, 466 м/100 г;
2621;Бобинная пряжа G&G Filati art. Arcobaleno, хлопок, примерно 350 м/100 г;
2622;Бобинная пряжа G&G Filati art. Arcobaleno, хлопок, примерно 350 м/100 г;
2623;Бобинная пряжа G&G Filati art. Arcobaleno, хлопок, примерно 350 м/100 г;
2624;Бобинная пряжа Casa del Filato Prato art. Maya, кашемир/шерсть, 466 м/100 г;
2625;Бобинная пряжа Tollegno 1900 art. Harmony, меринос экстрафайн, 1500 м/100 г;
2626;Бобинная пряжа Tollegno 1900 art. Harmony, меринос экстрафайн, 1500 м/100 г;
2627;Бобинная пряжа Zegna Baruffa Lane Borgosesia art. Baba, меринос/кашемир, 1500 м/100 г;
2628;Бобинная пряжа Zegna Baruffa Lane Borgosesia art. Baba, меринос/кашемир, 1500 м/100 г;
2629;Бобинная пряжа Zegna Baruffa Lane Borgosesia art. Baba, меринос/кашемир, 1500 м/100 г;
2630;Бобинная пряжа Zegna Baruffa Lane Borgosesia art. Baba, меринос/кашемир, 1500 м/100 г;
2631;Бобинная пряжа Zegna Baruffa Lane Borgosesia art. Baba, меринос/кашемир, 1500 м/100 г;
2632;Бобинная пряжа Lineapiu art. SUAMI, вискоза/лен/хлопок, 1600 м/100 гр;
2633;Бобинная пряжа Lineapiu art. SUAMI, вискоза/лен/хлопок, 1600 м/100 гр;
2634;Бобинная пряжа Lineapiu art. SUAMI, вискоза/лен/хлопок, 1600 м/100 гр;
2635;Бобинная пряжа Lineapiu art. SUAMI, вискоза/лен/хлопок, 1600 м/100 гр;
2636;Бобинная пряжа Lineapiu art. SUAMI, вискоза/лен/хлопок, 1600 м/100 гр;
2637;Бобинная пряжа Lineapiu art. SUAMI, вискоза/лен/хлопок, 1600 м/100 гр;
2638;Бобинная пряжа Lineapiu art. SUAMI, вискоза/лен/хлопок, 1600 м/100 гр;
2639;Бобинная пряжа Lineapiu art. SUAMI, вискоза/лен/хлопок, 1600 м/100 гр;
2640;Бобинная пряжа Lineapiu art. SUAMI, вискоза/лен/хлопок, 1600 м/100 гр;
2641;Бобинная пряжа Lineapiu art. SUAMI, вискоза/лен/хлопок, 1600 м/100 гр;
2642;Бобинная пряжа Tollegno 1900 art. Harmony, меринос экстрафайн, 1500 м/100 г;
2643;Бобинная пряжа Zegna Baruffa Lane Borgosesia art. Baba, меринос/кашемир, 1500 м/100 г;
2644;Бобинная пряжа Paillettes, нейлон/полиэстер, 800 м/100 гр;
2645;Бобинная пряжа G&G Filati art. Arcobaleno, хлопок, примерно 350 м/100 г;
2646;Бобинная пряжа Loro Piana art. CLAN, кашемир/мохер, 350 м/100 г;
2647;Бобинная пряжа Loro Piana art. NEW MIRASOFT, кашемир/шелк, 300 м/100 г;
2648;Бобинная пряжа Biagioli Modesto art. Cash.30,  Меринос 70% Кашемир 30% бобина / Синий меланж, 1300 м/100 г;
2649;Бобинная пряжа Filitaly lab art. Quipa, альпака, 1400 м/100 г;
2650;Бобинная пряжа Lafil spa art. Love Alpaca, альпака/шерсть, 1250 м/100 г;
2651;Бобинная пряжа Loro Piana art. OASI, лен/кашемир/шелк, 1200 м/100 гр;
2652;Бобинная пряжа Loro Piana art. OASI, лен/кашемир/шелк, 1200 м/100 гр;
2653;Бобинная пряжа Loro Piana art. OASI, лен/кашемир/шелк, 1200 м/100 гр;
2654;Бобинная пряжа Loro Piana art. OASI, лен/кашемир/шелк, 1200 м/100 гр;
2655;Бобинная пряжа COFIL art. PERALUX, хлопок/металлизированная нить/нейлон, 120 м/100 г;
2656;Бобинная пряжа COFIL art. PERALUX, хлопок/металлизированная нить/нейлон, 120 м/100 г;
2657;Бобинная пряжа Lineapiu art. FIOCCO, меринос/ангора/нейлон/эластан, 550 м/100 г;
2658;Бобинная пряжа Lineapiu art. FIOCCO, меринос/ангора/нейлон/эластан, 550 м/100 г;
2659;Бобинная пряжа Cariaggi art. Nirvana, кашемир/шелк, 1100 м/100 г;
2660;Бобинная пряжа Premiere от Filati Naturali, ангора/кашемир/шелк/вискоза, 400 м/100 г;
2661;Бобинная пряжа  Summer Yak от Filati, як/хлопок/шерсть/полиамид, 220 м/100 г;
2665;Бобинная пряжа Trilogia от Filati, беби альпака/кашемир/шелк, 400 м/100 г;
2666;Бобинная пряжа Nabucco от Filati, альпака/шерсть/ПА, 250 м/100 г;
2667;Бобинная пряжа  Silk Catenella от Filati, шёлк, 330 м/100 г;
2668;Бобинная пряжа  Simbiosi от Filati, як/кашемир, 400 м/100 г;
